title,rename,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
German Pinscher,,Working,/search/breeds-a-to-z/breeds/working/german-pinscher/,/media/2945/german-pinscher-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143878800000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
German Shepherd Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/,/media/3259/german-shepherd-dog.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132186393170000000,Short & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
German Shorthaired Pointer,,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
German Spitz (Klein),,Utility,/search/breeds-a-to-z/breeds/utility/german-spitz-klein/,/media/1695/german-spitz-klein-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143853880000000,Medium,Up to 1 hour per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
German Spitz (Mittel),,Utility,/search/breeds-a-to-z/breeds/utility/german-spitz-mittel/,/media/2946/german-spitz-mittel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143853980000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
German Wirehaired Pointer,,Gundog,/search/breeds-a-to-z/breeds/gundog/german-wirehaired-pointer/,/media/1165/german-wirehaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140425320000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Giant Schnauzer,,Working,/search/breeds-a-to-z/breeds/working/giant-schnauzer/,/media/2942/giant-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143878980000000,Medium,More than 2 hours per day,Every day,Over 12 years,No,Large,Large garden,Large house,Either,No
Glen Of Imaal Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/glen-of-imaal-terrier/,/media/1550/glen-of-imaal-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143791900000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Small house,Country,Yes
Gordon Setter,,Gundog,/search/breeds-a-to-z/breeds/gundog/gordon-setter/,/media/1166/gordon-setter-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140425730000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,Yes
Grand Bleu De Gascogne (Imp),,Hound,/search/breeds-a-to-z/breeds/hound/grand-bleu-de-gascogne-imp/,/media/2944/grand-bleu-de-gascogne-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140459310000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Great Dane,,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Great Swiss Mountain Dog,,Working,/search/breeds-a-to-z/breeds/working/great-swiss-mountain-dog/,/media/2943/great-swiss-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234980000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Greenland Dog,,Working,/search/breeds-a-to-z/breeds/working/greenland-dog/,/media/2665/greenland-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144235310000000,Medium,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Greyhound,,Hound,/search/breeds-a-to-z/breeds/hound/greyhound/,/media/2941/greyhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140459660000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Griffon Bruxellois,,Toy,/search/breeds-a-to-z/breeds/toy/griffon-bruxellois/,/media/1629/griffon-bruxellois-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805320000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Griffon Fauve De Bretagne (Imp),,Hound,/search/breeds-a-to-z/breeds/hound/griffon-fauve-de-bretagne-imp/,/media/1914/griffon-fauve-de-bretagne-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140460010000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Country,No
Hamiltonstovare,,Hound,/search/breeds-a-to-z/breeds/hound/hamiltonstovare/,/media/2947/hamiltonstovare-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140460340000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Harrier,,Hound,/search/breeds-a-to-z/breeds/hound/harrier/,/media/4486/harrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132666648350000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Large,Large garden,Large house,Country,No
Havanese,,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Hovawart,,Working,/search/breeds-a-to-z/breeds/working/hovawart/,/media/2948/hovawart-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144235450000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Hungarian Kuvasz (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/hungarian-kuvasz-imp/,/media/1460/hungarian-kuvasz-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140551010000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Hungarian Puli,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/hungarian-puli/,/media/1462/hungarian-puli-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140551520000000,Long,Up to 1 hour per day,More than once a week,Over 12 years,No,Medium,Small/ medium garden,Small house,Either,No
Hungarian Pumi,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/hungarian-pumi/,/media/1465/hungarian-pumi-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140625150000000,Medium,Up to 1 hour per day,Once a week,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No
Hungarian Vizsla,,Gundog,/search/breeds-a-to-z/breeds/gundog/hungarian-vizsla/,/media/1167/hungarian-vizsla-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140426620000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No
Hungarian Wire Haired Vizsla,,Gundog,/search/breeds-a-to-z/breeds/gundog/hungarian-wire-haired-vizsla/,/media/1168/hungarian-wire-haired-vizsla-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140426990000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Ibizan Hound,,Hound,/search/breeds-a-to-z/breeds/hound/ibizan-hound/,/media/2949/ibizan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140460940000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Irish Red & White Setter,,Gundog,/search/breeds-a-to-z/breeds/gundog/irish-red-white-setter/,/media/1169/irish-red-white-setter-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140427320000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,Yes
Irish Setter,,Gundog,/search/breeds-a-to-z/breeds/gundog/irish-setter/,/media/1170/irish-setter-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140427670000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Irish Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/irish-terrier/,/media/1553/irish-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143796670000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Irish Wolfhound,,Hound,/search/breeds-a-to-z/breeds/hound/irish-wolfhound/,/media/1378/irish-wolfhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140461270000000,Medium,More than 2 hours per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes
Italian Greyhound,,Toy,/search/breeds-a-to-z/breeds/toy/italian-greyhound/,/media/1634/italian-greyhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805810000000,Short,Up to 1 hour per day,Once a week,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No
Italian Spinone,,Gundog,/search/breeds-a-to-z/breeds/gundog/italian-spinone/,/media/2950/italian-spinone-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140428120000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Jack Russell Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/,/media/1556/jack-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Country,No
Japanese Akita Inu,,Utility,/search/breeds-a-to-z/breeds/utility/japanese-akita-inu/,/media/2952/japanese-akita-inu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143855850000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Japanese Chin,,Toy,/search/breeds-a-to-z/breeds/toy/japanese-chin/,/media/1637/japanese-chin-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143806130000000,Medium,Up to 30 minutes per day,More than once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Japanese Shiba Inu,,Utility,/search/breeds-a-to-z/breeds/utility/japanese-shiba-inu/,/media/2955/japanese-shiba-inu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143855980000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Japanese Spitz,,Utility,/search/breeds-a-to-z/breeds/utility/japanese-spitz/,/media/2951/japanese-spitz-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143856170000000,Medium,Up to 1 hour per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Keeshond,,Utility,/search/breeds-a-to-z/breeds/utility/keeshond/,/media/1708/keeshond-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143856360000000,Medium,Up to 1 hour per day,Every day,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Kerry Blue Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/kerry-blue-terrier/,/media/1559/kerry-blue-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797290000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,No,Medium,Small/ medium garden,Small house,Either,Yes
King Charles Spaniel,,Toy,/search/breeds-a-to-z/breeds/toy/king-charles-spaniel/,/media/1640/king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143806550000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,Yes
Komondor,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/komondor/,/media/1468/komondor-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140626570000000,Long,Up to 1 hour per day,More than once a week,Under 10 years,No,Large,Large garden,Large house,Country,No
Kooikerhondje,,Utility,/search/breeds-a-to-z/breeds/utility/kooikerhondje/,/media/2957/kooikerhondje-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143856680000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Korean Jindo (Imp),,Utility,/search/breeds-a-to-z/breeds/utility/korean-jindo-imp/,/media/2956/korean-jindo-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143856750000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Korthals Griffon (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/korthals-griffon-imp/,/media/1172/resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140428430000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Lagotto Romagnolo,,Gundog,/search/breeds-a-to-z/breeds/gundog/lagotto-romagnolo/,/media/1173/lagotto-romagnolo-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140428720000000,Medium,More than 2 hours per day,More than once a week,Over 12 years,No,Small,Large garden,Small house,Country,No
Lakeland Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/lakeland-terrier/,/media/1562/lakeland-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797580000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,No,Small,Small/ medium garden,Small house,Either,Yes
Lancashire Heeler,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/lancashire-heeler/,/media/1471/lancashire-heeler-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140626900000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,Yes
Large Munsterlander,,Gundog,/search/breeds-a-to-z/breeds/gundog/large-munsterlander/,/media/1174/large-munsterlander-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140429020000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Leonberger,,Working,/search/breeds-a-to-z/breeds/working/leonberger/,/media/2958/leonberger-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236490000000,Medium,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,No
Lhasa Apso,,Utility,/search/breeds-a-to-z/breeds/utility/lhasa-apso/,/media/2959/lhasa-apso-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143857660000000,Long,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Lowchen (Little Lion Dog),,Toy,/search/breeds-a-to-z/breeds/toy/lowchen-little-lion-dog/,/media/1645/lowchen-little-lion-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807670000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Maltese,,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Manchester Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/manchester-terrier/,/media/1565/manchester-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797930000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,Yes
Maremma Sheepdog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/maremma-sheepdog/,/media/1911/maremma-sheepdog-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140629200000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Mastiff,,Working,/search/breeds-a-to-z/breeds/working/mastiff/,/media/1803/masttiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236750000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes
Miniature Pinscher,,Toy,/search/breeds-a-to-z/breeds/toy/miniature-pinscher/,/media/1650/miniature-pinscher-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143808170000000,Short,Up to 30 minutes per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Miniature Schnauzer,,Utility,/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/,/media/2960/miniature-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143867930000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Neapolitan Mastiff,,Working,/search/breeds-a-to-z/breeds/working/neapolitan-mastiff/,/media/2964/neopolitan-mastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236930000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,No
Newfoundland,,Working,/search/breeds-a-to-z/breeds/working/newfoundland/,/media/1921/newfoundland-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144237070000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Large garden,Large house,Country,No
Norfolk Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/norfolk-terrier/,/media/1568/norfolk-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143798260000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Norwegian Buhund,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/norwegian-buhund/,/media/1476/norwegian-buhund-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140629310000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Norwegian Elkhound,,Hound,/search/breeds-a-to-z/breeds/hound/norwegian-elkhound/,/media/2961/norwegian-elkhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140461560000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Norwich Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/norwich-terrier/,/media/1571/norwich-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143798610000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,Yes
Old English Sheepdog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/old-english-sheepdog/,/media/1912/old-english-sheepdog-illustration-rsized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140629820000000,Long,More than 2 hours per day,Every day,Over 10 years,Yes,Large,Large garden,Large house,Either,Yes
Otterhound,,Hound,/search/breeds-a-to-z/breeds/hound/otterhound/,/media/1384/otterhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140461920000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,Yes
Papillon,,Toy,/search/breeds-a-to-z/breeds/toy/papillon/,/media/1652/papillon-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143808390000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,No garden,Flat/ Apartment,Either,No
Parson Russell Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/parson-russell-terrier/,/media/1574/parson-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143799320000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No
Pekingese,,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Pharaoh Hound,,Hound,/search/breeds-a-to-z/breeds/hound/pharaoh-hound/,/media/2965/pharaoh-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140462330000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Picardy Sheepdog (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/picardy-sheepdog-imp/,/media/1483/picardy-sheepdog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140630500000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Country,No
Pointer,,Gundog,/search/breeds-a-to-z/breeds/gundog/pointer/,/media/1175/pointer-illustration-resize.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140429390000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No
Polish Lowland Sheepdog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/polish-lowland-sheepdog/,/media/1486/polish-lowland-sheepdog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140631420000000,Long,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Small house,Either,No
Pomeranian,,Toy,/search/breeds-a-to-z/breeds/toy/pomeranian/,/media/1658/pomeranian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810450000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Poodle (Miniature),,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No
Poodle (Standard),,Utility,/search/breeds-a-to-z/breeds/utility/poodle-standard/,/media/2971/poodle-standard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143869060000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Medium,Large garden,Large house,Either,No
Poodle (Toy),,Utility,/search/breeds-a-to-z/breeds/utility/poodle-toy/,/media/1729/poodle-toy-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143869130000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Portuguese Podengo,,Hound,/search/breeds-a-to-z/breeds/hound/portuguese-podengo/,/media/2966/portuguese-podengo-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140465450000000,Short,Up to 30 minutes per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,No
Portuguese Pointer (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/portuguese-pointer-imp/,/media/1176/portuguese-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140429780000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Portuguese Water Dog,,Working,/search/breeds-a-to-z/breeds/working/portuguese-water-dog/,/media/2970/portuguese-water-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144237300000000,Medium,Up to 1 hour per day,Every day,Over 10 years,No,Medium,Small/ medium garden,Large house,Either,No
Pug,,Toy,/search/breeds-a-to-z/breeds/toy/pug/,/media/1661/pug-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810750000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Pyrenean Mastiff (Imp),,Working,/search/breeds-a-to-z/breeds/working/pyrenean-mastiff-imp/,/media/2967/pyrenean-mastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144237430000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Pyrenean Mountain Dog,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/pyrenean-mountain-dog/,/media/1489/pyrenean-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140633340000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Pyrenean Sheepdog (Long Haired),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-long-haired/,/media/1494/pyrenean-sheepdog-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140637820000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Pyrenean Sheepdog (Smooth Faced) (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/pyrenean-sheepdog-smooth-faced-imp/,/media/4441/pyrenean-sheepdog-smooth-faced-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132617360790000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Retriever (Chesapeake Bay),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-chesapeake-bay/,/media/1177/retriever-chesapeake-bay-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140430310000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Retriever (Curly Coated),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-curly-coated/,/media/1178/retriever-curly-coated-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140430790000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,Yes
Retriever (Flat Coated),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-flat-coated/,/media/1183/retriever-flat-coated-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431160000000,Medium,More than 2 hours per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Golden),Golden Retriever,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-golden/,/media/1184/retriever-golden-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431570000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Labrador),Labrador,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-labrador/,/media/1185/retriever-labrador-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433580000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Retriever (Nova Scotia Duck Tolling),,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-nova-scotia-duck-tolling/,/media/1186/retriever-nova-scotia-duck-tolling-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433950000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Rhodesian Ridgeback,,Hound,/search/breeds-a-to-z/breeds/hound/rhodesian-ridgeback/,/media/2972/rhodesian-ridgeback-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140465770000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
