title,rename,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Bearded Collie,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/bearded-collie/,/media/1416/bearded-collie-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140471330000000,Long,Up to 1 hour per day,Every day,Over 12 years,Yes,Medium,Large garden,Large house,Either,Yes
Beauceron,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/beauceron/,/media/1419/beauceron-illustratiaon.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140471820000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Bedlington Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/bedlington-terrier/,/media/1523/bedlington-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779260000000,Medium,Up to 1 hour per day,Once a week,Over 10 years,No,Small,Small/ medium garden,Small house,Either,No
Belgian Shepherd Dog (Groenendael),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-groenendael/,/media/1423/belgian-shepherd-dog-groenendael-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140472230000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Belgian Shepherd Dog (Laekenois),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-laekenois/,/media/1425/belgian-shepherd-dog-laekenois-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140537090000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Belgian Shepherd Dog (Malinois),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-malinois/,/media/1428/belgian-shepherd-dog-malinois-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140537620000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Belgian Shepherd Dog (Tervueren),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/belgian-shepherd-dog-tervueren/,/media/1431/belgian-shepherd-dog-tervueren-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140538240000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Either,No
Bergamasco (Imp),,Pastoral,/search/breeds-a-to-z/breeds/pastoral/bergamasco-imp/,/media/1434/bergamasco-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140539710000000,Long,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Large,Small/ medium garden,Large house,Country,No
Bernese Mountain Dog,,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Bichon Frise,,Toy,/search/breeds-a-to-z/breeds/toy/bichon-frise/,/media/1604/bichon-frise-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802390000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
