title,search_term,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
French Bulldog,french+bulldog,Utility,/search/breeds-a-to-z/breeds/utility/french-bulldog/,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
German Shepherd Dog,german+shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/,/media/3259/german-shepherd-dog.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132186393170000000,Short & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
German Shorthaired Pointer,german+shorthaired+pointer,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No
Great Dane,great+dane,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Greyhound,greyhound,Hound,/search/breeds-a-to-z/breeds/hound/greyhound/,/media/2941/greyhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140459660000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Havanese,havanese,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Jack Russell Terrier,jack+russell+terrier,Terrier,/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/,/media/1556/jack-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Country,No
King Charles Spaniel,king+charles+spaniel,Toy,/search/breeds-a-to-z/breeds/toy/king-charles-spaniel/,/media/1640/king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143806550000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,Yes
Lhasa Apso,lhasa+apso,Utility,/search/breeds-a-to-z/breeds/utility/lhasa-apso/,/media/2959/lhasa-apso-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143857660000000,Long,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Maltese,maltese,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Mastiff,mastiff,Working,/search/breeds-a-to-z/breeds/working/mastiff/,/media/1803/masttiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236750000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes
