title,search_term,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed,breed_in_query,queries,term,suggestion,str_position,search_start,search_end,search_category
Australian Shepherd,australian+shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd howl,12,why does my,howl,noise
Australian Shepherd,australian+shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd bark so much,12,why does my,bark so much,noise
Australian Shepherd,australian+shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd stare at me,12,why does my,stare at me,0
Australian Shepherd,australian+shepherd,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd bark at me,12,why does my,bark at me,noise
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound pee so much,12,why does my,pee so much,0
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound stink,12,why does my,stink,odeur
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound bark so much,12,why does my,bark so much,noise
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound not howl,12,why does my,not howl,noise
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound scratch so much,12,why does my,scratch so much,0
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound whine so much,12,why does my,whine so much,noise
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound shake,12,why does my,shake,0
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound smell so bad,12,why does my,smell so bad,odeur
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound has lumps,12,why does my,has lumps,0
Basset Hound,basset+hound,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound bite me,12,why does my,bite me,0
Beagle,beagle,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,beagle,why+does+my+beagle,why+does+my+beagle,why does my beagle shed so much,12,why does my,shed so much,0
Beagle,beagle,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,beagle,why+does+my+beagle,why+does+my+beagle,why does my beagle shake,12,why does my,shake,0
Beagle,beagle,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,beagle,why+does+my+beagle,why+does+my+beagle,why does my beagle sleep so much,12,why does my,sleep so much,laziness
