title,category,link,image,details_type,details
Australian Terrier,Terrier,/search/breeds-a-to-z/breeds/terrier/australian-terrier/,/media/1520/australian-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143778950000000,Size of garden,Small/ medium garden
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Size,Large
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Exercise,More than 2 hours per day
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Size of home,Large house
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Grooming,Every day
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Coat length,Long
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Sheds,Yes
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Lifespan,Over 10 years
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Vulnerable native breed,No
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Town or country,Country
Afghan Hound,Hound,/search/breeds-a-to-z/breeds/hound/afghan-hound/,/media/2905/afghan-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140445440000000,Size of garden,Large garden
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Size,Large
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Exercise,More than 2 hours per day
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Size of home,Large house
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Grooming,More than once a week
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Coat length,Short
